,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1583,CD70,2.982160814,-4.048593137,0.962238637,-4.207473054,2.58E-05,0.002145674
843,LOC401557,2.850949519,-3.971189365,0.77610707,-5.116806067,3.11E-07,0.000117832
223,CLEC4F,3.131889225,-3.369699635,0.862029076,-3.909032456,9.27E-05,0.004703997
1267,CTSG,2.561745011,-3.263223162,1.099869955,-2.966917268,0.003008019,0.041116587
1630,IFNL2,2.561524284,-3.003271705,0.777917437,-3.860656107,0.000113083,0.005372085
87,SFN,42.18149877,-2.971877335,0.764484838,-3.887424819,0.000101313,0.004990582
488,LRRC14B,2.407162539,-2.929741868,0.839883924,-3.488269968,0.000486157,0.013984556
167,SELE,40.66158465,-2.742645318,0.505079948,-5.430121169,5.63E-08,3.26E-05
766,CRH,14.25435595,-2.600810386,0.423156312,-6.146216687,7.94E-10,1.65E-06
1005,MUC5AC,7.13026941,-2.548927257,0.739110913,-3.448639727,0.000563418,0.015164477
910,FATE1,2.167527482,-2.546146299,0.699893189,-3.637906953,0.000274863,0.00941258
871,CLDN34,4.399964406,-2.453148978,0.564255328,-4.347586735,1.38E-05,0.001386743
707,VGF,869.0712565,-2.423596768,0.318991681,-7.597680173,3.01E-14,2.10E-10
810,IFNA5,2.558489476,-2.4214485,0.770161254,-3.144079875,0.0016661,0.028754256
1571,PRTN3,14.06325507,-2.414670618,0.575380973,-4.196646621,2.71E-05,0.002198264
835,LCN2,2.7834954,-2.382496073,0.785485496,-3.033150941,0.002420145,0.036169372
1803,SYCE3,2.503701889,-2.359488544,0.644009641,-3.663747239,0.000248552,0.008921779
613,C6orf223,11.4791736,-2.293041683,0.379569309,-6.041167256,1.53E-09,2.45E-06
502,CARTPT,118.9944854,-2.283958074,0.679201182,-3.36271216,0.000771808,0.018044904
1209,LINC01257,9.455574918,-2.260138104,0.471266309,-4.795883056,1.62E-06,0.000367138
954,PTF1A,2.5365097,-2.226797767,0.582876716,-3.820358072,0.000133258,0.005944082
1165,KRT5,7.948348222,-2.193578483,0.467408874,-4.693061266,2.69E-06,0.000494826
1799,LINC00898,27.29222438,-2.136161957,0.416217821,-5.132317382,2.86E-07,0.00011053
520,LOC101929719,6.879044253,-2.130576746,0.541648082,-3.933507413,8.37E-05,0.00445378
1091,SLN,5.045810382,-2.113050692,0.595578142,-3.547898328,0.000388318,0.011979843
528,LOC101926975,7.746735461,-2.095642442,0.336137887,-6.234472579,4.53E-10,1.35E-06
250,C2orf48,3.358482231,-2.078334635,0.633696608,-3.279699797,0.001039176,0.021478707
405,SST,125.1251409,-2.066390524,0.453059613,-4.560968283,5.09E-06,0.000748541
1483,CSF3,23.86901456,-2.036629322,0.609796375,-3.339851476,0.000838232,0.018788021
545,RAB44,4.428599487,-2.027010878,0.683339679,-2.966329836,0.003013771,0.04114259
1542,ADCYAP1,88.09056591,-1.971017309,0.314853716,-6.260104957,3.85E-10,1.34E-06
1510,MPO,31.81728135,-1.965675438,0.34606051,-5.680149517,1.35E-08,1.17E-05
346,OTOL1,3.707426503,-1.958345874,0.571553229,-3.426357816,0.000611734,0.015847548
512,PCSK1,337.5057295,-1.955142255,0.319504315,-6.119298426,9.40E-10,1.78E-06
629,MAS1,29.66025023,-1.954428689,0.348748655,-5.604118218,2.09E-08,1.68E-05
990,LINC01164,46.05031415,-1.926583386,0.525448067,-3.66655338,0.000245842,0.008921779
1798,LOC339685,8.639765014,-1.9147859,0.409628885,-4.674440627,2.95E-06,0.000525396
920,HECTD2-AS1,7.11000853,-1.897498862,0.429284744,-4.420140455,9.86E-06,0.00116879
1038,LINC01219,8.351080157,-1.884462208,0.530251067,-3.553905543,0.000379556,0.011849746
1057,SLC6A5,2.485346688,-1.882388184,0.631400048,-2.981292432,0.002870346,0.040014075
597,TCP11,4.107670318,-1.857284463,0.450137991,-4.126033571,3.69E-05,0.002678835
61,HES5,104.7637346,-1.837450869,0.377457869,-4.867962815,1.13E-06,0.000293937
482,LINC01202,7.019582846,-1.830944556,0.477382654,-3.835381413,0.00012537,0.005778023
439,UCHL1-AS1,2.379486151,-1.823736877,0.587602486,-3.103691559,0.001911225,0.031434219
822,LOC642943,5.68205804,-1.812132383,0.471444623,-3.843786302,0.000121151,0.005677739
677,NEUROD6,162.6114386,-1.807443094,0.296354295,-6.098926601,1.07E-09,1.86E-06
317,LINC01107,23.48454917,-1.801135721,0.423702054,-4.250948755,2.13E-05,0.001897153
784,LINC00051,2.332879592,-1.801042446,0.609604615,-2.954443588,0.003132334,0.04209074
858,PPEF1,35.54255098,-1.797781828,0.304931522,-5.895690339,3.73E-09,4.32E-06
708,NAT16,23.22624252,-1.785876517,0.299834537,-5.956206835,2.58E-09,3.85E-06
1572,ELANE,7.570075924,-1.779145031,0.506406694,-3.513273128,0.000442622,0.013135485
1335,LOC102723493,8.269770202,-1.777276514,0.370770887,-4.793462957,1.64E-06,0.000367601
263,TMEM247,2.886132282,-1.752182066,0.531940109,-3.293946137,0.000987914,0.02074819
248,LOC100506274,7.965627944,-1.734532306,0.425917763,-4.072458249,4.65E-05,0.003099569
730,FAM66E,6.051076117,-1.728359311,0.528750116,-3.268763939,0.001080184,0.021905608
1499,CD300LG,4.172450273,-1.726839016,0.565759309,-3.052250292,0.002271326,0.034725806
1509,KIF2B,5.822193217,-1.720791646,0.473758895,-3.632209685,0.000281005,0.009529027
1638,PSG8,5.928858801,-1.712425566,0.408333628,-4.193692236,2.74E-05,0.002209908
1156,H1FNT,9.437357486,-1.698327122,0.42837948,-3.964538923,7.35E-05,0.004132136
1181,LOC728084,9.862869219,-1.696668683,0.458427148,-3.701065024,0.000214696,0.00803859
119,GBP6,9.161595463,-1.669060577,0.410879397,-4.062166632,4.86E-05,0.003168614
750,MROH5,21.17340326,-1.658287607,0.421141737,-3.937599772,8.23E-05,0.004412292
1164,KRT81,6.74429617,-1.63367455,0.424296431,-3.850314143,0.000117966,0.005565208
441,ALB,7.862831921,-1.627609413,0.439662419,-3.70195255,0.000213947,0.00803859
1654,MYBPC2,20.63270621,-1.610659925,0.472977318,-3.405363986,0.000660759,0.016642673
747,SLC30A8,3.757185283,-1.604931941,0.496191259,-3.234502651,0.001218548,0.023567887
461,LOC100506085,2.943645491,-1.592532116,0.553994937,-2.874632979,0.004044974,0.048342654
1100,OR6X1,3.265064806,-1.590704613,0.502391671,-3.166263906,0.001544106,0.027296816
1161,LOC101927292,3.820594053,-1.58723481,0.488494666,-3.249236726,0.001157151,0.022745493
165,SELP,20.70052296,-1.576124041,0.432422697,-3.644868905,0.000267528,0.009252569
1480,ARL5C,5.386818685,-1.566839578,0.45213977,-3.465387659,0.000529468,0.014703127
695,TAC1,27.45293159,-1.566389487,0.396484079,-3.950699585,7.79E-05,0.004263378
1112,RPH3A,2232.800987,-1.55791637,0.203016404,-7.673844753,1.67E-14,1.74E-10
1696,RAD21L1,3.965649715,-1.534203974,0.453741936,-3.381225876,0.000721632,0.017296776
1233,LINC00460,6.222721308,-1.526866041,0.454404128,-3.360150025,0.000779002,0.01811157
435,CD38,121.9417206,-1.524138549,0.397409158,-3.835187289,0.000125469,0.005778023
1400,ABCC12,34.31692344,-1.501474264,0.326825556,-4.594115223,4.35E-06,0.000682202
709,LINC01007,84.93215257,-1.499971714,0.490636957,-3.057192684,0.002234206,0.034412384
1027,USP2-AS1,18.07657807,-1.49904844,0.261151447,-5.740149854,9.46E-09,9.86E-06
777,BAALC-AS1,92.35518979,-1.497547788,0.279082694,-5.365964352,8.05E-08,4.42E-05
992,LINC01168,76.57901208,-1.490997156,0.302437741,-4.92993087,8.23E-07,0.000229148
162,RGS4,1957.190997,-1.489854577,0.380177547,-3.918838943,8.90E-05,0.004624905
120,F3,1057.431757,-1.489257039,0.328001964,-4.54039061,5.62E-06,0.000802062
1103,KIRREL3-AS3,11.72494667,-1.48728161,0.453883188,-3.276793785,0.00104993,0.021633468
1456,ALOX12B,20.43835322,-1.471940262,0.274933695,-5.353800891,8.61E-08,4.61E-05
97,C1orf94,9.100776871,-1.459085036,0.409607221,-3.56215653,0.000367821,0.011729214
618,LIN28B-AS1,4.073509184,-1.454951565,0.434611428,-3.347706645,0.000814832,0.018534858
928,DRGX,8.041177259,-1.450702043,0.481683452,-3.011733198,0.002597608,0.038060955
754,FAM86B3P,25.94934527,-1.449754785,0.30150017,-4.808470866,1.52E-06,0.000356384
725,RP1L1,4.715810824,-1.448371846,0.47647945,-3.039736232,0.002367854,0.035757857
443,SOWAHB,138.862673,-1.44692924,0.291654273,-4.961111053,7.01E-07,0.000206478
424,FREM3,177.0459817,-1.434547914,0.394036423,-3.640647998,0.000271953,0.009343615
823,BAAT,19.79050696,-1.392467721,0.360092977,-3.866967172,0.000110197,0.005307538
1054,TPH1,5.572976749,-1.386331269,0.379278817,-3.65517716,0.000257004,0.009038495
1672,MYLK2,14.76165399,-1.383233763,0.422695976,-3.272408165,0.001066355,0.021792671
577,LOC100507194,8.944407866,-1.373273383,0.3297646,-4.164405106,3.12E-05,0.002438281
1235,LINC00567,6.143442436,-1.363570356,0.418165702,-3.260837387,0.001110837,0.022193076
974,SFTPA1,17.32695099,-1.363156888,0.34206999,-3.985023319,6.75E-05,0.003887182
1703,ADRA1D,41.30756891,-1.35161637,0.343612903,-3.933543699,8.37E-05,0.00445378
1467,LOC339260,6.884594546,-1.346096043,0.41098671,-3.275278761,0.001055578,0.021648039
1318,GJD2,9.520170335,-1.3384891,0.468557719,-2.856615194,0.004281846,0.04985924
1037,MUC5B,92.04483832,-1.336522374,0.423708287,-3.154345609,0.001608585,0.028072831
289,FBLN7,118.3900814,-1.333341095,0.312285965,-4.269615813,1.96E-05,0.001783239
211,TPO,10.56123499,-1.329893989,0.35659404,-3.729434148,0.00019191,0.007423579
233,SCHLAP1,8.719993684,-1.328090528,0.328296825,-4.045395585,5.22E-05,0.003321212
956,GDF2,6.643161891,-1.325463366,0.452857421,-2.926888916,0.003423711,0.044266275
118,GADD45A,342.5288125,-1.323699861,0.348100934,-3.802632317,0.000143167,0.006266386
1206,LINC00943,7.844827083,-1.320404501,0.337727457,-3.90967472,9.24E-05,0.004703997
297,STAT4,160.2603078,-1.3174175,0.323347779,-4.074305082,4.62E-05,0.003084932
496,HSPB3,14.4173632,-1.314964204,0.358095951,-3.672100176,0.000240565,0.008832729
1637,PSG3,8.806076099,-1.311893892,0.42501164,-3.086724617,0.00202375,0.032590968
1784,MCHR1,94.51755169,-1.309396598,0.275906735,-4.745794254,2.08E-06,0.000420521
768,MSC,33.47957488,-1.300490934,0.236619223,-5.496133902,3.88E-08,2.79E-05
