"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","SGIP1",1391.57120415036,-0.350569574581499,0.133396995513438,0.000967007028463867,0.020411874067423
"2","NECAP2",375.979519143413,0.166344411757434,0.120620168282905,0.0944455070046343,0.282202281590884
"3","AZIN2",341.880171568652,-0.141993681481093,0.138811534478341,0.183697963763882,0.411849175907951
"4","AGBL4",175.612657426663,-0.397646926641169,0.194251025455718,0.00184522710519163,0.0306875688028481
"5","CLIC4",1351.81276913095,0.0617243702933189,0.185414115555345,0.566124441152517,0.752696379822212
"6","SLC45A1",255.020106103628,-0.457869017620046,0.159159359184434,0.000109628406091336,0.00529236205795096
"7","TGFBR3",517.948114996868,0.108332449932657,0.138630076448904,0.308926854461827,0.547380590467408
"8","DBT",599.099255386256,-0.0286744014812057,0.102571096296127,0.748605844492504,0.868801436042241
"9","PRUNE1",267.038936575535,0.117637794013655,0.0943364905961669,0.161884925617185,0.383518132880426
"10","C1orf21",2165.75943068527,-0.020114887961831,0.10780478488313,0.828008464897058,0.915397720276319
"11","RFWD2",525.029033283627,-0.0472640888482374,0.0741863291633732,0.494866277107335,0.701904513093657
"12","LIN9",42.1240865195583,0.217332699199232,0.12699041087369,0.0342047439867762,0.159050152919558
"13","PRKCZ",1320.73893866434,0.010449450967829,0.120641118488135,0.916155608729006,0.96053808823294
"14","PRDM16",675.774076473982,0.0410180634143564,0.158019853724955,0.708296825565401,0.842258541291278
"15","ICMT",623.188898007446,0.142585133431137,0.0929910680537542,0.0864002459510099,0.269419427229114
"16","CAMTA1",2243.49325752423,-0.291754296619838,0.141335379498897,0.00755011082524929,0.0677236822626125
"17","C1orf159",207.560102262162,-0.0993448742015898,0.134009906628987,0.343523037121509,0.578642511846302
"18","PRAMEF18",0,0,0.274009855282615,NA,NA
"19","PRAMEF10",0,0,0.274009855282615,NA,NA
"20","PRAMEF33P",0,0,0.274009855282615,NA,NA
"21","PINK1-AS",68.2597697227395,0.0698978359561493,0.132851606353835,0.502913991808419,0.708188473947642
"22","EPHB2",331.256152237001,-0.0497494858541222,0.132873962801562,0.633315576929142,0.796898537278705
"23","LOC105378614",1.28232103253945,-0.0499985984299332,0.243565460980712,0.495092659308342,NA
"24","PINK1",1431.43660448744,-0.108636065397494,0.0988760645275537,0.212361541809969,0.447489133519946
"25","USP48",1023.46747923484,0.0462196086768636,0.0899711188562169,0.568935895668631,0.753626488207007
"26","STMN1",3426.76866786495,-0.191173610759726,0.170148193426074,0.0949081933323519,0.282598906919824
"27","NUDC",1229.01737527957,-0.0986625826247069,0.124455909065423,0.329054695472971,0.56490250856839
"28","EPB41",542.009884243926,0.225120047764838,0.175118737934633,0.0532545156681782,0.204836393260763
"29","PUM1",2068.41789137777,0.04056631750131,0.0790472730661231,0.578762755172761,0.760752379876966
"30","KHDRBS1",1063.97308716407,-0.233704108038597,0.102311130491683,0.00876382758144401,0.0735491445517162
"31","EYA3",524.6321737776,0.156345120979375,0.0910044782210625,0.0558391494470371,0.210057860624891
"32","SFPQ",2752.21467904377,0.0225532445771145,0.10467240134008,0.803730494165743,0.901705280317746
"33","THRAP3",1785.79964766682,-0.148109565179481,0.0894538284616868,0.0663848853409637,0.231824645643972
"34","MACF1",23634.1407945458,0.111909014165416,0.100499104671491,0.204233957215754,0.43743444364122
"35","CSMD2",1351.54285982251,0.113568442783878,0.10433798939422,0.209641235929965,0.444468639987303
"36","RNF220",2227.28181501874,0.259979356242454,0.161680432993948,0.0240005650386929,0.130042032705103
"37","TRABD2B",12.7852588231192,0.103318729736162,0.211165465021433,0.313036224506676,0.550870851581026
"38","PTPRF",4478.76474405714,-0.0751497691970045,0.091957495291156,0.362410994021952,0.594188779899986
"39","GPBP1L1",891.588340567189,0.193802718198385,0.0728070848990695,0.00435797502160068,0.0501575988275288
"40","TCEANC2",260.841219017547,0.117557552586262,0.152327842947524,0.28508301334442,0.525305375799424
"41","DAB1",237.411844846825,-0.084050296064373,0.127346332927053,0.411197003777266,0.63758103947091
"42","RAB3B",825.522888192103,-0.0855770312511108,0.202121594559778,0.409844103302981,0.636267705322182
"43","SCP2",600.744541142433,-0.197100075899232,0.101951199839516,0.0267530251582091,0.138651674869396
"44","FAF1",736.668939277786,-0.0247507518265952,0.0885279084842061,0.757395838376123,0.875199576017066
"45","USP24",2206.52403500524,0.123021217182435,0.0775418316627046,0.0867803653054578,0.270055283576181
"46","FGGY",303.8883125075,0.0561354947260255,0.141603283520462,0.599773246658748,0.773452371838455
"47","CACHD1",917.645245434262,-0.0658253400236189,0.142180014804138,0.539134940616958,0.73500709581132
"48","USP1",384.350476818289,0.133930973971449,0.118218421065474,0.172697036079512,0.397176520449737
"49","ITGB3BP",48.3228952312698,-0.109067601307085,0.162772374995843,0.326332971700498,0.562630567611684
"50","LEPR",172.361082763579,-0.0371365249442989,0.159840249348474,0.734970912205366,0.860195205906219
"51","NFIA",3085.31233603815,0.172118073391215,0.147783345530954,0.117070775540969,0.318454625491199
"52","NEGR1",1177.59040128608,-0.241691371081591,0.196101179385096,0.0424373526016689,0.179156070548138
"53","LRRC7",2422.60202328887,-0.257298669932064,0.134382335989363,0.0152952541238684,0.10002587794082
"54","ST6GALNAC3",173.035968033629,0.223244164487275,0.149893195342236,0.044780520442728,0.184322726506594
"55","PIGK",255.481297706843,-0.0849068545950391,0.15843348925837,0.441257130944836,0.66194917751795
"56","CLCA4",90.3866579943735,0.541890207883645,0.420986081517239,0.0011738192578186,0.0230075193813975
"57","LRRC8C",393.156926486281,0.0249561269524375,0.110607327880856,0.79098394799003,0.893997207756073
"58","PKN2-AS1",17.0738683494624,-0.704850258624281,0.284649329520201,3.42643064295106e-05,0.00257971881078499
"59","DDAH1",2472.39968066268,-0.280424361541192,0.147510715396995,0.0118014188538802,0.0861759769599692
"60","LOC729970",69.5285745358808,-0.150648471325295,0.129166598747072,0.144666110582107,0.360278779889491
"61","LOC102723661",0.279172014205086,0.00698653173697889,0.267527872131146,0.823379683094108,NA
"62","FAM69A",357.833455718083,-0.0547755125842354,0.142204401188511,0.609136572581844,0.780315922677786
"63","GCLM",282.17339947394,-0.145046410061598,0.139014638723242,0.174829743040588,0.399877155919908
"64","NTNG1",191.290425512265,-0.229099021155991,0.140815186318505,0.034502134697173,0.159685312718496
"65","PHTF1",367.35387417099,0.0286055064426061,0.119443124213587,0.77195332986252,0.882571757351582
"66","GNAI3",440.455321015773,-0.00132726432468979,0.0966729667562991,0.987646338714605,0.993878837563829
"67","KCNA2",974.867925945995,-0.160558927309817,0.167876784561121,0.155697254477041,0.37436551324779
"68","RAP1A",577.370538923469,0.277351920746497,0.143892391507532,0.0117111061936094,0.0858224536655954
"69","RHOC",820.846092770158,-0.0532440618875102,0.127578160674215,0.602727308366378,0.775057221357801
"70","NOTCH2",3822.26393111935,0.148529230856461,0.151817300920869,0.178528639720193,0.404741252458378
"71","WDR3",221.496477120838,-0.226098725383323,0.118928833740422,0.0220077208534235,0.123512114746541
"72","LOC101927429",0.216477598596953,-0.0317269451778591,0.266785984761477,0.437873958136555,NA
"73","OTUD7B",1873.17523007075,0.240948904393149,0.172945473985702,0.039172646800734,0.171447124665122
"74","NBPF9",2.58752051859122,0.218136192811853,0.305227853798308,0.0328133752105911,0.155797005696281
"75","PDZK1",12.1061378959472,0.0025988353770227,0.175918947263531,0.980886643279978,0.991227260699757
"76","NBPF20",0.218599362231988,-0.00617458684014476,0.26289817301695,0.878905372249551,NA
"77","NBPF8",26.2924630164788,0.1617804658539,0.189484597863223,0.152818459314023,0.370886648317696
"78","NBPF25P",62.225544673894,0.119600724588126,0.182836727349818,0.281352118180661,0.521425257678636
"79","NBPF10",92.4029146192848,0.260121069463423,0.174990581065259,0.027414076142893,0.140354786097191
"80","TPM3",1596.59088942433,-0.281904878578897,0.10289619669647,0.00162799147067294,0.0283167323777183
"81","SMG5",2211.90058184972,0.373323306439134,0.0878912714884612,2.39900361933058e-06,0.000454829277101265
"82","GBAP1",113.536993719872,-0.117680362673936,0.152014107396606,0.284334870193718,0.524668529277119
"83","LOC440700",2.17799484794352,0.0347354196702833,0.231412679265519,0.666597296327697,0.817613751391762
"84","FCGR2A",178.146069747985,0.0372892032515577,0.191325677705374,0.722044682016328,0.852022589159014
"85","PBX1",1599.73362662976,-0.177300129132893,0.116505079720771,0.0687007495281435,0.236389066393241
