gene,lfc,q
MTRNR2L2,-3.984376161,1.83E-13
MTRNR2L10,-3.971334748,6.41E-06
MTRNR2L6,-3.967774565,1.30E-06
MTRNR2L1,-3.820025453,3.47E-04
CD200R1L,-3.13979592,0.004246648
MTRNR2L8,-2.96181503,7.37E-10
GACAT3,-2.904694418,3.30E-06
TMEM88B,-2.807872356,2.03E-09
CSN1S1,-2.768934546,0.011581067
TRBJ2-3,-2.720844724,8.02E-04
GSTA1,-2.624208168,5.33E-04
H3-5,-2.494575836,6.79E-06
IL17REL,-2.490558401,3.03E-05
PBOV1,-2.47360059,0.002777651
HNRNPCL1,-2.426326051,0.009811365
LINC02219,-2.381447507,0.020181042
HAPLN4,-2.358060642,0.003399687
LINC00637,-2.347446312,5.52E-03
TNIP3,-2.334600918,1.72E-06
TAS2R46,-2.311477678,0.014552585
MAB21L4,-2.289839396,1.99E-02
SOST,-2.205667741,3.80E-03
SPATA19,-2.184757933,3.63E-03
NXPE1,-2.183081675,1.49E-02
HSD3B1,-2.162707894,0.000199498
LOC105378318,-2.162529441,1.39E-02
DPRX,-2.156768133,0.045575946
SEC14L3,-2.126241391,0.029169888
OR2T33,-2.117885153,0.012686979
LOC105370531,-2.109532251,0.026027361
LINC00486,-2.041629258,7.21E-08
C21orf91-OT1,-2.039392614,0.038664359
TMPRSS4,-2.026408725,3.39E-02
CEACAM8,-2.022449979,0.009183148
SYT2,-1.978266949,2.40E-06
LINC02454,-1.959911506,0.007746801
CARNS1,-1.950074839,2.65E-06
ZBTB20-AS4,-1.922975534,3.40E-02
MYH1,-1.904513459,0.011290192
TRPM1,-1.892972688,0.003249969
LINC01749,-1.888702634,0.006159413
OR52A5,-1.877385261,0.026192724
SSTR5,-1.851244432,0.028935728
RPEL1,-1.825785029,0.012097387
APOA2,-1.823850521,0.040045268
LOC153910,-1.812180345,0.017088444
LINC02487,-1.778698385,0.000371526
SYNGR4,-1.775127932,4.09E-05
NPSR1-AS1,-1.715446047,0.006908718
ZNF177,-1.707801916,0.006476923
OR2K2,-1.700234659,0.035745574
KRT31,-1.68914309,9.12E-04
KRT40,-1.688362717,0.030091589
GSDMC,-1.674796949,2.25E-02
HBA1,-1.673514478,2.15E-06
HOXD1,-1.641549264,4.99E-04
TMEM125,-1.637553823,1.74E-05
LINC00269,-1.632660805,0.004931816
P2RX2,-1.623786365,0.003762077
DMBT1,-1.607781549,0.000687704
LINC00996,-1.605673047,0.039906344
C10orf53,-1.60554998,0.02879417
C4orf48,-1.60549007,6.66E-07
STRA8,-1.589302366,0.025043221
MUC6,-1.582433952,0.000261129
LRRC26,-1.52808789,0.010292612
TBX10,-1.519509154,0.014743707
LINC01310,-1.518193181,7.40E-07
LEXM,-1.511181663,2.47E-02
H3-2,-1.510803657,0.04212313
OR2L2,-1.501430453,0.021528217
OR1F1,-1.49538628,1.62E-04
REN,-1.483768697,0.040495608
NPBWR2,-1.466230586,0.01994953
GRIN3B,-1.465535297,0.000456787
LINC02395,-1.463571492,0.006240734
CLEC4F,-1.45712708,0.006974238
CMTM5,-1.449091156,7.80E-05
TMEM72,-1.445112232,0.030455479
LINC02688,-1.441566155,0.00117443
PTPRH,-1.432441178,2.26E-05
GLDN,-1.425251101,8.54E-05
MYOG,-1.413313422,0.002016675
LOC100653233,-1.411199187,0.009622165
GCM2,-1.408519559,0.044086185
MAG,-1.407793128,0.001025575
C2CD4D,-1.407701763,6.36E-10
SLC4A1,-1.40108269,3.62E-02
VSIG8,-1.398821807,0.000365344
LDLRAD2,-1.391782217,0.001368054
PROKR2,-1.382096362,1.99E-02
LOC100507336,-1.377140627,0.008249661
GAS8-AS1,-1.365277615,3.47E-05
TMEM139,-1.362723966,6.01E-04
MSLNL,-1.360384339,2.39E-05
CCDC188,-1.354752618,5.61E-06
ANKS4B,-1.353547869,0.002508564
LDB3,-1.353389538,6.47E-05
C1QTNF8,-1.339271413,0.009718398
CLEC4M,-1.336438279,0.047697424
TMEM160,-1.333801878,1.38E-07
LINC01299,-1.332225271,0.004725632
NIPAL4,-1.326250095,0.003873077
IGFBPL1,-1.326052346,0.000343884
GPD1,-1.325943899,4.47E-10
VCX3A,-1.325275606,0.014883521
GJB1,-1.323805905,0.001375309
ZFP57,-1.319586076,0.004029513
CHRND,-1.315397194,0.003677734
ANKRD33B,-1.312879813,0.002837361
AVP,-1.307567116,0.039218907
PPP1R14A,-1.307355405,0.000562253
ESRP2,-1.302603576,0.004422526
FXYD4,-1.292558503,0.015263101
LOC100131315,-1.281632259,0.001347719
FAM180B,-1.279435923,4.83E-04
CPA5,-1.27898355,0.003699058
DNAJC5G,-1.278459891,6.23E-05
INHBC,-1.276689696,0.020520501
SGK2,-1.272674154,2.93E-04
CCKAR,-1.270101265,0.033469204
SH3TC2-DT,-1.265985731,0.016856503
TMEM171,-1.265947209,0.000278398
NXNL1,-1.253336537,0.019489226
CERCAM,-1.252322109,0.000788822
TP53TG5,-1.248572946,0.000527892
KCNK17,-1.244838459,0.038447518
NACA2,-1.229557455,0.011534271
NPFFR2,-1.218775245,0.007043632
FABP1,-1.212503755,0.014039795
CASP16P,-1.212427147,0.017963972
CCDC33,-1.208785025,0.011306233
SEMA3E,-1.207339732,0.000671005
RHO,-1.207224738,2.52E-04
MYLK3,-1.206470813,0.038600997
LOC285766,-1.205183838,0.011397361
ADTRP,-1.204283992,0.000199498
RP1L1,-1.203611913,0.045604688
DAO,-1.20227753,0.013123574
TMEFF1,-1.202080977,0.000450034
TMEM235,-1.199464786,0.005431798
NT5C1A,-1.193090492,0.002685413
TP53INP2,-1.183130714,0.000530299
LOC101929719,-1.166503914,0.000687704
FFAR1,-1.164032717,0.019498774
NEUROG2,-1.162162829,0.003399385
NUTM2A,-1.156828742,7.78E-05
TBC1D10C,-1.152372528,1.50E-05
SMIM32,-1.148962835,5.78E-04
RBBP8NL,-1.141698193,0.047697424
OPALIN,-1.140405074,0.001532833
INE1,-1.132627993,3.14E-04
LOC101927708,-1.132004246,0.000537097
TUBB3,-1.121003314,3.32E-06
LINC02535,-1.120468615,0.034365036
HNRNPUL2-BSCL2,-1.11712066,3.06E-02
FOLH1,-1.115878463,0.003735167
LINC00639,-1.112831531,0.001226116
ENOSF1,-1.110908353,0.000237933
CGB7,-1.108630735,0.036900663
OR3A2,-1.108056744,0.033012106
ATP6V1G2-DDX39B,-1.091409085,4.86E-02
GDNF,-1.090573428,0.015493216
CTSV,-1.089785512,0.001269411
LINC00898,-1.089390931,0.002602596
CNP,-1.082176018,1.51E-03
PAQR6,-1.081080943,0.00041663
BICDL2,-1.077750991,2.51E-04
KRT7,-1.076708785,0.01236309
UROC1,-1.075198535,9.61E-06
GJC2,-1.072795665,0.002905301
MOG,-1.070111092,0.010053144
TSPAN15,-1.069893179,0.002118685
ADAMTS4,-1.068175099,0.014680851
BDKRB1,-1.067085962,0.002456306
ASB16,-1.063815732,0.001719502
MOBP,-1.062218598,0.014603146
GATA1,-1.055222188,0.04663966
LINC02016,-1.05159105,0.02286495
LINC02301,-1.047520858,0.039753676
TTC29,-1.04737578,0.007865987
GLTPD2,-1.045139157,3.17E-07
KCNH4,-1.041972307,0.000826114
FA2H,-1.04130369,0.019410292
TH,-1.039684623,0.004411636
LOC100130370,-1.038422918,0.00446009
SLC34A3,-1.037112655,0.001065897
TACSTD2,-1.03580474,0.031287226
MBP,-1.03545126,0.018961407
CLCA2,-1.026834411,0.021796562
SV2C,-1.023281861,1.03E-03
NKAIN1,-1.020940443,4.00E-06
ANGPTL2,-1.018928689,0.000379485
C6orf223,-1.018688648,5.41E-03
CA14,-1.01831572,0.003796824
TRBV20OR9-2,-1.01416581,0.002594357
CAPN3,-1.007420716,0.005844048
PGPEP1L,-1.006903979,0.001843075
ZNF503-AS1,-1.004208339,0.038077185
GPX2,-0.999317334,0.005162367
ATP12A,-0.99858122,0.021587471
SSPOP,-0.99810873,0.000288168
LRRC24,-0.995404448,0.006603595
TMEM61,-0.994498526,0.040954933
SLC5A1,-0.993094615,0.02545187
TNC,-0.98905309,4.48E-02
QRFPR,-0.987273385,6.16E-03
TTC36,-0.986987478,0.000199685
UPK3B,-0.982772984,0.033265286
NPHS1,-0.982629961,1.54E-05
CD300LG,-0.981695802,0.044927483
SPOCD1,-0.980265443,0.004850483
LINC01567,-0.978505926,0.037243484
PLEKHG3,-0.978346123,0.004237959
BTBD17,-0.978191217,0.000617503
CFTR,-0.977492367,0.005406538
KLK6,-0.976979528,0.038803134
LINC01877,-0.975762164,0.000672119
HTR2C,-0.971898091,7.07E-03
VWA7,-0.971553018,5.95E-05
LOC283710,-0.970407681,8.66E-04
PCDHAC1,-0.968606871,0.015752642
HCRTR1,-0.967972378,4.69E-02
OPN4,-0.967873156,0.002394455
TRIM54,-0.964122867,0.001720042
KCNE5,-0.963508602,2.92E-03
PNPLA3,-0.960760786,0.010677324
FAM178B,-0.960391459,0.00356491
STPG3,-0.959137162,0.03163466
FBN3,-0.957857117,0.000456404
KCNK4-TEX40,-0.950638716,4.24E-05
DNAJC22,-0.950047041,0.004575249
GPCPD1,-0.948032908,3.24E-07
SPDYE2,-0.946896872,0.006081626
NXPH4,-0.946585602,0.003833788
TYMS,-0.945963095,0.008101333
ADAMTS14,-0.940530196,0.048271028
SLC31A2,-0.937953927,0.01475967
SCRT2,-0.937361423,0.003571068
LKAAEAR1,-0.936574021,0.000318036
CYP4A11,-0.935860333,0.001645959
C19orf71,-0.935529347,0.000524819
JMJD7-PLA2G4B,-0.935480269,0.00093313
CATSPERZ,-0.934343509,0.006922376
NTN5,-0.933857531,0.000102086
SMIM5,-0.931614237,0.024332711
PFKFB1,-0.931542426,0.000289975
SPHKAP,-0.930436212,0.00269799
S1PR5,-0.930231458,4.07E-02
SVOPL,-0.930075795,3.18E-02
ODF3B,-0.929957811,0.026245606
KREMEN2,-0.929741325,2.01E-07
RSPO4,-0.926456644,0.000242807
CDHR5,-0.926415068,0.023534565
PLEKHH1,-0.925462529,0.011050763
NPAP1,-0.920725871,0.028443333
CLDN16,-0.918827836,4.95E-04
IQANK1,-0.916801166,0.000143078
LSP1P5,-0.914343037,0.000236511
SPRED3,-0.913785284,0.002998565
HHLA2,-0.911985126,0.012179344
NPY,-0.911942158,0.007921761
ATP10B,-0.910484424,2.04E-03
FIGNL2-DT,-0.908026013,0.045791048
CYP26A1,-0.907711428,0.003165714
IQGAP3,-0.905157391,0.006449882
NHLH2,-0.90371128,0.011813045
MYLK2,-0.903256685,0.000681713
VWA1,-0.902950766,0.005018919
SCD,-0.902226229,0.001002566
PPEF1,-0.901819438,3.38E-03
CHADL,-0.900799863,0.004029513
TERT,-0.90030798,0.032051249
HTR6,-0.899678662,0.008246111
LINC01359,-0.899233251,1.92E-05
MYO18B,-0.898010811,0.013561505
DGCR5,-0.896287679,6.21E-05
H1-7,-0.895745143,0.012865737
KIRREL2,-0.895037036,1.20E-05
CORO7-PAM16,-0.894177548,0.030037157
SEMA3B,-0.892347255,0.010148117
CNDP1,-0.890877925,0.013381036
HR,-0.890230768,3.64E-09
LOC100288123,-0.887985217,0.000681326
LOC105371049,-0.88612628,1.68E-03
MSC,-0.884649928,0.001735395
SLC22A18AS,-0.884032592,0.000946282
POU2AF1,-0.883158997,0.039624467
SLC30A3,-0.882899872,0.006345598
OBSCN-AS1,-0.880865482,0.008016466
PCSK6,-0.879587802,2.49E-02
TGFBR3L,-0.876495639,3.64E-05
WNT1,-0.876393687,0.033819814
B3GAT1-DT,-0.875310346,0.000171368
ACP7,-0.874209215,0.04482958
TUBB4A,-0.874148382,6.88E-08
IQCN,-0.872380248,0.002402321
PCP4,-0.872368662,0.007510883
SMIM22,-0.872165149,0.005675999
NHSL2,-0.871747219,0.033938671
PKLR,-0.87118513,0.028659225
ZNF536,-0.871154961,0.002797586
CNNM3-DT,-0.870714782,0.003000336
SEPTIN4,-0.869916931,0.00375433
CYP2A6,-0.869306123,0.00269156
HPN,-0.867730782,0.011026782
ASTL,-0.867222583,0.020657108
FALEC,-0.866431062,0.000205485
COL19A1,-0.86599671,0.027683692
TMEM151A,-0.865693501,6.17E-06
IGSF9B,-0.864031278,0.02166252
POLR2F,-0.863923361,4.22E-04
MYRF,-0.863734476,0.048143774
NTRK1,-0.863540608,1.78E-02
MPL,-0.863506713,0.004508134
DMRT2,-0.863150246,0.035929725
EGR1,-0.862437921,0.016921478
EFS,-0.862364638,0.003337945
TRIM59,-0.862284534,0.033534779
LINC00870,-0.861054597,4.77E-02
COL9A3,-0.860040537,0.003667967
C1orf94,-0.856682823,0.02881674
DNAH17,-0.855065639,0.012506062
NCR3LG1,-0.854786124,0.030936099
