"","lfc","p-adjusted"
"CLEC4F","-3.369699635",0.004703997
"LINC00898","-2.136161957",0.00011053
"LOC101929719","-2.130576746",0.00445378
"MAS1","-1.954428689",1.68e-05
"SLC6A5","-1.882388184",0.040014075
"PPEF1","-1.797781828",4.32e-06
"LOC100506274","-1.734532306",0.003099569
"ALB","-1.627609413",0.00803859
"TAC1","-1.566389487",0.004263378
"RPH3A","-1.55791637",1.74e-10
"ALOX12B","-1.471940262",4.61e-05
"SOWAHB","-1.44692924",0.000206478
"TPH1","-1.386331269",0.009038495
"MYLK2","-1.383233763",0.021792671
"ADRA1D","-1.35161637",0.00445378
"FBLN7","-1.333341095",0.001783239
"LINC00943","-1.320404501",0.004703997
"ARL4D","-1.234091469",0.001274779
"PRMT8","-1.228912161",0.00027882
"HHLA2","-1.227708205",0.03049376
"SPRED3","-1.141653177",0.000288171
"CLDN16","-1.140622026",0.011766242
"LYRM9","-1.128607381",0.001133802
"SPDEF","-1.108607405",0.014707608
"RBM3","-1.102507281",0.001251181
"CRYM","-1.094666392",0.019076611
"SYP","-1.033566421",0.011916203
"LPA","-1.017537174",0.022745493
"HMGCS1","-1.012879092",0.002650233
"LRRC73","-1.003083302",0.009095578
"PCYOX1L","-0.999873846",9.07e-05
"CCKBR","-0.99234029",0.015398452
"RIIAD1","-0.987613544",0.01142281
"WNT1","-0.977533985",0.003681669
"CHRM4","Dec-29",0.044104878
"SVOP","-0.945293928",0.005273107
"LOC102724532","-0.936004923",0.011766387
"LRTM2","-0.929692956",0.004960927
"F7","-0.914075263",0.049292367
"ZNF449","-0.901149855",0.000155816
"C2orf16","-0.900770835",4.34e-05
"ZNF860","-0.896752887",0.016747344
"KCNF1","-0.892597688",9.91e-05
"SMIM10L2B","-0.879255759",0.001380551
"SCN11A","-0.864554833",0.012631251
"TARBP1","-0.854633805",8.33e-05
"DIRAS1","-0.838130983",0.007423579
"SYT12","-0.833682997",0.024670422
"SLC6A17","-0.814179691",0.001384511
"C17orf107","-0.810047894",0.01695463
"KREMEN2","-0.798760136",0.002143648
"RSAD2","-0.793913655",0.031254023
"SMIM10L2A","-0.791056827",0.000866197
"PCP4L1","-0.790028631",0.042586434
"SPEF1","-0.787686703",0.045673449
"CLSTN3","-0.78081951",0.023162198
"GPCPD1","-0.779391104",0.001243667
"ANXA6","-0.768141297",0.005944082
"NRSN2","-0.753657703",3.24e-05
"CALM3","-0.743822926",0.023855206
"PNPLA3","-0.736280079",0.017217063
"ZNF596","-0.734401336",0.001676557
"GPRASP1","-0.706937006",0.002154176
"RNF165","-0.706926908",0.000494826
"EXOC3L1","-0.691093621",0.001588109
"RELL2","-0.684406696",0.048172329
"NCR3LG1","-0.679074033",0.006869004
"CCDC113","-0.676257711",9.71e-05
"CHRNB2","-0.667551099",0.022193076
"GABARAPL1","-0.660525548",0.03527161
"TECTA","-0.659837955",0.000206478
"CYP2E1","-0.638154894",0.002685737
"SLC45A1","-0.627502636",0.005292362
"FAM131A","-0.622095316",0.033618107
"TMEM241","-0.613161935",0.024752827
"COPS7A","-0.610655039",0.001589916
"PPME1","-0.598454077",0.015532838
"GSS","-0.596090395",0.003576179
"NRIP3","-0.593120645",0.036012371
"NRXN3","-0.58934497",0.006419853
"EFR3B","-0.569526524",0.001309161
