"","lfc","q"
"CLEC4F",-1.131662284,0.009377629
"LINC00898",-1.194757384,0.001361385
"LOC101929719",-0.829056065,0.005714197
"MAS1",-0.889456006,0.007131057
"SLC6A5",-0.944144792,0.000541685
"PPEF1",-1.248537639,7.21e-06
"LOC100506274",-0.47437263,0.038755335
"ALB",-0.747974669,0.00239
"TAC1",-1.394948199,5.22e-05
"RPH3A",-0.817403851,8.23e-05
"ALOX12B",-0.663117277,0.006488591
"SOWAHB",-1.042879575,0.00234899
"TPH1",-0.713649472,0.001914431
"MYLK2",-0.889905726,9.95e-05
"ADRA1D",-0.690050747,0.013241407
"FBLN7",-0.909126291,0.001855978
"LINC00943",-1.253435977,8.9e-05
"ARL4D",-0.475955716,0.015452088
"PRMT8",-0.604196923,0.012594918
"HHLA2",-0.799413471,0.004962176
"SPRED3",-0.711478765,0.00247468
"CLDN16",-0.751585835,0.000992516
"LYRM9",-0.525743507,0.00171
"SPDEF",-0.45068563,0.041312782
"RBM3",-0.678259646,0.000171
"CRYM",-0.7286914,0.002414945
"SYP",-0.500388887,0.020107949
"LPA",-0.749219176,0.001111614
"HMGCS1",-0.777590293,2.22e-05
"LRRC73",-0.452558956,0.04365266
"PCYOX1L",-0.616769255,5.57e-05
"CCKBR",-0.507548706,0.0328
"RIIAD1",-0.621252543,0.000500289
"WNT1",-0.911097739,0.00784481
"CHRM4",-0.889969803,0.006920707
"SVOP",-0.836466524,0.001357126
"LOC102724532",-0.254954863,0.033164551
"LRTM2",-0.548441313,0.028778402
"F7",-0.524544952,0.0263
"ZNF449",-0.721059565,1.12e-06
"C2orf16",-0.905313037,7.96e-07
"ZNF860",-1.043145365,0.000176
"KCNF1",-0.481850349,0.022815094
"SMIM10L2B",-0.497314533,0.014272983
"SCN11A",-0.504635707,0.004511832
"TARBP1",-0.855657109,4.79e-07
"DIRAS1",-0.499466365,0.022292965
"SYT12",-0.545479091,0.008986854
"SLC6A17",-0.612031695,0.012027206
"C17orf107",-0.680698218,0.000703683
"KREMEN2",-0.396273344,0.04237675
"RSAD2",-0.466235975,0.005717269
"SMIM10L2A",-0.486851619,0.003226699
"PCP4L1",-0.890658101,0.000295628
"SPEF1",-0.448396736,0.018179434
"CLSTN3",-0.470917694,0.043063904
"GPCPD1",-0.86116881,4.16e-07
"ANXA6",-0.403744855,0.034739008
"NRSN2",-0.308112276,0.033746047
"CALM3",-0.467139837,0.010126434
"PNPLA3",-0.668499319,0.027753014
"ZNF596",-0.636417914,1.07e-05
"GPRASP1",-0.767505252,2.76e-05
"RNF165",-0.617408813,0.00142
"EXOC3L1",-0.404878562,0.012411216
"RELL2",-0.447165276,0.030081825
"NCR3LG1",-1.415763664,1.2e-05
"CCDC113",-0.692872715,5.3e-06
"CHRNB2",-0.61789927,0.008617279
"GABARAPL1",-0.538961469,0.000895688
"TECTA",-0.495509894,6.03e-06
"CYP2E1",-0.33011375,0.016196393
"SLC45A1",-0.253691788,0.023492726
"FAM131A",-0.419805006,0.003539285
"TMEM241",-0.401900649,0.010542005
"COPS7A",-0.325828524,0.003806459
"PPME1",-0.259973934,0.007317193
"GSS",-0.288109148,0.00345359
"NRIP3",-0.728067641,0.00116
"NRXN3",-0.917359673,4.42e-06
"EFR3B",-0.286599924,0.015152713
"SPCS1",-0.320986565,7.84e-05
"ACP2",-0.322931958,0.011097436
"TMEM169",-0.507694165,0.000331
"RASGRF1",-0.760425235,5.8e-06
"NAPA",-0.290478056,0.028699399
"NIPSNAP1",-0.457494055,0.000423218
"CES2",-0.417958626,4.81e-05
"FBXO16",-0.703544512,0.000231781
"MED29",-0.256249667,0.000241703
"BDH1",-0.297419141,0.019810603
"EML6",-0.448920932,0.000843896
"RNFT2",-0.254537766,0.032497267
"PSMB2",-0.261440862,2.91e-05
"DDB1",-0.235787666,0.00866844
"COG1",-0.401899918,0.000940036
"HGSNAT",-0.260907434,0.0134875
"NEU3",-0.434045965,1.92e-05
"CHP1",-0.356314764,0.000500433
"LETMD1",-0.240296042,0.001803667
"FBXO9",-0.649938602,1.19e-05
"WDR46",-0.202818513,0.038216452
"CD99L2",-0.252622518,0.040374382
"ACLY",-0.325945521,0.000731721
"EIF4H",-0.247277296,0.000135934
"ZCCHC17",-0.274337133,0.001354941
"PITPNA",-0.309948961,0.003508469
"MRPL30",-0.421760053,1.12e-05
"ST3GAL3",-0.226361767,0.046814899
"IMMT",-0.338490006,3.12e-05
"PNPO",-0.374506105,0.001892584
"DHX57",-0.37497834,2.38e-06
"PCNX2",-0.396368394,0.009872158
"MECR",-0.34965447,0.001181432
"MRPS25",-0.207475744,0.000272177
"BBS5",-0.170968261,0.031501399
"TRIM9",-0.4919931,3.85e-05
"NICN1",-0.342537781,0.003251345
"MRPS5",0.258950305,0.001884687
"PPP4R3A",0.211675303,0.01515433
"HDGF",0.366193759,3e-06
"PTPN21",0.254171989,0.012535093
"EXOG",-0.28231759,0.002568442
"TRIM4",0.331403105,0.00019815
"ZMYND8",0.331661791,0.000177569
"UNC119B",0.178287044,0.021421277
"RBM17",0.31813356,0.000314029
"RELA",0.96344626,2.42e-08
"HNRNPH3",0.271872312,0.003799272
"ZNF32",0.223306096,0.038973245
"ZBTB34",0.236461397,0.015153655
"PSPH",0.332189017,0.000246675
"NFKB1",0.341884595,0.001055887
"COLGALT1",0.705955626,1.15e-06
"PPP1CC",0.231709253,0.004028854
"SNHG3",0.417325287,0.000149186
"ZHX3",0.263067071,0.002904321
"ZNF143",0.178177636,0.022653109
"AUP1",0.628450171,3.16e-06
"ITPRIP",0.89946665,0.000130399
"HBP1",0.222698785,0.044429286
"TRIM8",0.565283158,1.71e-08
"TAF3",0.322392803,0.000597201
"UBXN2A",0.23874025,0.006506545
"IRF2BP2",0.464019418,0.000597069
"MOB3C",0.635346452,7.57e-05
"PNPT1",0.342792127,0.009472536
"SIRT1",0.28591585,0.018749983
"CTBP2",0.25764798,0.004231446
"RAB29",0.395695878,0.000639032
"FOXN3",0.232289888,0.009403862
"STK38",0.567752009,1.28e-06
"HP1BP3",0.217623858,0.013430867
"FANCE",0.535604794,0.000174157
"PPM1D",0.371535948,0.007715761
"CCDC69",0.438295703,0.004854264
"SYS1",0.27431692,0.002385242
"CAPN2",0.51133063,8.85e-06
"FCHSD2",0.331483703,0.001547213
"RHOQ",0.420230792,0.000468323
"ATF4",0.466672192,8.76e-05
"LRP4",0.773098202,0.000127529
"PXDC1",0.907236726,1.63e-05
"MXI1",0.409403837,0.000460856
"PAPOLA",0.293756726,0.003546039
"GKAP1",0.413436292,0.001706056
"PDE4DIP",0.288828022,0.006534325
"SMAD4",0.225480466,0.017171483
