,AD,,PD,,HD,
,lfc,p-adjusted,lfc,q,lfc,q
CLEC4F,-3.369699635,0.004703997,-1.131662284,0.009377629,-1.45712708,0.006974238
LINC00898,-2.136161957,0.00011053,-1.194757384,0.001361385,-1.089390931,0.002602596
LOC101929719,-2.130576746,0.00445378,-0.829056065,0.005714197,-1.166503914,0.000687704
MAS1,-1.954428689,1.68E-05,-0.889456006,0.007131057,-0.735606726,0.0378
SLC6A5,-1.882388184,0.040014075,-0.944144792,0.000541685,-0.662461136,0.032236147
PPEF1,-1.797781828,4.32E-06,-1.248537639,7.21E-06,-0.901819438,0.00338
LOC100506274,-1.734532306,0.003099569,-0.47437263,0.038755335,-0.648368418,0.0174
ALB,-1.627609413,0.00803859,-0.747974669,0.00239,-0.815291917,0.016479256
TAC1,-1.566389487,0.004263378,-1.394948199,5.22E-05,-0.776310442,0.0495
RPH3A,-1.55791637,1.74E-10,-0.817403851,8.23E-05,-0.523527328,0.025725066
ALOX12B,-1.471940262,4.61E-05,-0.663117277,0.006488591,-0.823307631,0.00227
SOWAHB,-1.44692924,0.000206478,-1.042879575,0.00234899,-0.818513518,0.0299
TPH1,-1.386331269,0.009038495,-0.713649472,0.001914431,-0.735211915,0.017935625
MYLK2,-1.383233763,0.021792671,-0.889905726,9.95E-05,-0.903256685,0.000681713
ADRA1D,-1.35161637,0.00445378,-0.690050747,0.013241407,-0.796908039,0.015094134
FBLN7,-1.333341095,0.001783239,-0.909126291,0.001855978,-0.7374448,0.0126
LINC00943,-1.320404501,0.004703997,-1.253435977,8.90E-05,-0.786526527,0.036659922
ARL4D,-1.234091469,0.001274779,-0.475955716,0.015452088,-0.628055457,0.003560401
PRMT8,-1.228912161,0.00027882,-0.604196923,0.012594918,-0.501085352,0.030855073
HHLA2,-1.227708205,0.03049376,-0.799413471,0.004962176,-0.911985126,0.012179344
SPRED3,-1.141653177,0.000288171,-0.711478765,0.00247468,-0.913785284,0.002998565
CLDN16,-1.140622026,0.011766242,-0.751585835,0.000992516,-0.918827836,0.000495
LYRM9,-1.128607381,0.001133802,-0.525743507,0.00171,-0.569528435,0.004029513
SPDEF,-1.108607405,0.014707608,-0.45068563,0.041312782,-0.729937261,0.00279
RBM3,-1.102507281,0.001251181,-0.678259646,0.000171,-0.828744382,2.82E-05
CRYM,-1.094666392,0.019076611,-0.7286914,0.002414945,-0.817599872,0.000245532
SYP,-1.033566421,0.011916203,-0.500388887,0.020107949,-0.537277958,0.018838608
LPA,-1.017537174,0.022745493,-0.749219176,0.001111614,-0.668772659,0.0265
HMGCS1,-1.012879092,0.002650233,-0.777590293,2.22E-05,-0.564795508,0.008316992
LRRC73,-1.003083302,0.009095578,-0.452558956,0.04365266,-0.534912111,0.027493779
PCYOX1L,-0.999873846,9.07E-05,-0.616769255,5.57E-05,-0.660240071,4.28E-06
CCKBR,-0.99234029,0.015398452,-0.507548706,0.0328,-0.491272856,0.034854525
RIIAD1,-0.987613544,0.01142281,-0.621252543,0.000500289,-0.435939597,0.036617446
WNT1,-0.977533985,0.003681669,-0.911097739,0.00784481,-0.876393687,0.033819814
CHRM4,-0.951425869,0.044104878,-0.889969803,0.006920707,-0.726536248,0.049950759
SVOP,-0.945293928,0.005273107,-0.836466524,0.001357126,-0.693991071,0.00751
LOC102724532,-0.936004923,0.011766387,-0.254954863,0.033164551,-0.486575224,0.005037721
LRTM2,-0.929692956,0.004960927,-0.548441313,0.028778402,-0.815451623,0.000712291
F7,-0.914075263,0.049292367,-0.524544952,0.0263,-0.83384473,0.000657993
ZNF449,-0.901149855,0.000155816,-0.721059565,1.12E-06,-0.451616738,0.009118256
C2orf16,-0.900770835,4.34E-05,-0.905313037,7.96E-07,-0.532201333,0.030091589
ZNF860,-0.896752887,0.016747344,-1.043145365,0.000176,-0.738393426,0.031614009
KCNF1,-0.892597688,9.91E-05,-0.481850349,0.022815094,-0.516541448,0.041727314
