gene,lfc,q
GPR149,-2.158518282,1.32E-05
RPL17-C18orf32,-2.122680928,4.55E-03
CCDC144A,-2.076278141,8.31E-06
RGS8,-1.979027979,5.85E-06
KRT79,-1.972327904,9.75E-03
RXFP3,-1.96144038,6.09E-03
TRBV19,-1.960553877,2.20E-02
SI,-1.908739156,7.91E-03
IL17REL,-1.866024819,9.79E-05
LINC01811,-1.761184838,1.88E-02
PSG5,-1.74236724,1.52E-03
CER1,-1.727534927,2.33E-02
DSG3,-1.709655073,1.72E-03
LINC01973,-1.698861093,5.23E-03
LINC02325,-1.676638507,1.09E-02
CRH,-1.667294677,1.11E-04
LINC02234,-1.621203155,1.43E-04
IBSP,-1.618608627,7.32E-03
KRT40,-1.603110502,7.29E-03
CCDC196,-1.589245322,1.15E-02
OR1L3,-1.583224423,1.64E-02
PLA2G2D,-1.560779396,3.73E-02
NPAS4,-1.560280521,5.57E-04
LINC01948,-1.537661728,1.05E-02
SOST,-1.532767265,1.34E-02
LOC100996671,-1.527795876,5.42E-03
MYLK3,-1.525335648,1.59E-03
LOC389602,-1.507734349,2.99E-02
PLCXD2,-1.499414597,8.94E-04
LEXM,-1.494282771,4.27E-03
CCKAR,-1.491541012,2.65E-03
DRD3,-1.48561909,4.51E-02
CNTNAP5,-1.480121771,4.76E-06
ADGRF2,-1.474363124,1.84E-02
DUSP4,-1.470322563,2.22E-06
LINC00939,-1.459500119,3.26E-03
OSTN,-1.457568601,2.73E-06
NXPH2,-1.452055625,5.50E-04
MMP3,-1.435989024,1.14E-02
KLHL14,-1.430252562,0.000339148
PLEKHM3,-1.428208869,7.18E-06
FREM3,-1.41941426,3.17E-03
NCR3LG1,-1.415763664,1.20E-05
LINC01257,-1.41331085,8.06E-04
TAC1,-1.394948199,5.22E-05
COL19A1,-1.392982752,1.03E-05
GOLGA6B,-1.383592674,0.028251694
LINC01915,-1.369989436,0.004723996
NKX1-2,-1.369632305,5.17E-03
LOC284191,-1.366529304,4.19E-02
RBBP8NL,-1.345672914,0.001429772
CFAP299,-1.323407351,0.003703941
RPE65,-1.306060719,0.004032461
LIPJ,-1.302621281,0.000470319
C12orf40,-1.298835834,1.54E-02
ZSWIM2,-1.297116403,3.29E-05
RGS7BP,-1.295846635,4.78E-05
LINC02263,-1.295281956,1.09E-03
GRM5,-1.289896189,4.97E-04
ADCYAP1,-1.2897673,3.88E-06
KRT78,-1.28862716,0.026500377
CALB1,-1.286034213,0.000149186
EGR2,-1.284363888,2.20E-05
KCNH1,-1.282819588,8.81E-05
NDST4,-1.275555756,0.006882757
LINC01231,-1.269002049,4.51E-02
PCDHAC1,-1.268208691,9.27E-05
KRT5,-1.266571179,5.57E-04
PATE2,-1.263146297,0.001252286
REN,-1.261782229,4.54E-02
LINC00943,-1.253435977,8.90E-05
TRPC5,-1.251073743,6.89E-05
HDC,-1.250163529,0.000503828
C10orf53,-1.249209968,0.04089627
PPEF1,-1.248537639,7.21E-06
KIAA0408,-1.245476172,0.000275804
LINC01844,-1.240523369,5.71E-06
COL25A1-DT,-1.238679986,0.013351979
SERTM1,-1.225564273,0.000161034
CHRNA6,-1.221471941,3.34E-03
PCDHAC2,-1.206146331,8.50E-04
BDNF,-1.200624039,3.31E-06
ANKRD20A2P,-1.200440513,0.045104563
LINC00898,-1.194757384,0.001361385
HCRTR1,-1.189460122,0.000744431
LINC01894,-1.185820297,0.012763584
MCHR2,-1.18545054,0.001634876
LOC102724612,-1.183683196,2.93E-02
GACAT3,-1.182073542,1.47E-02
IGFBPL1,-1.178280387,3.00E-04
FSTL5,-1.177661203,5.16E-05
LINC01007,-1.173933626,0.001483807
LOC153910,-1.17329664,2.31E-02
TTC6,-1.171178447,0.0043981
SLC30A8,-1.168738049,0.024689426
CAMK4,-1.168000615,1.26E-05
CHRNB3,-1.164676469,0.002247436
OR2M4,-1.163139919,0.042781891
GSDMC,-1.160232961,2.74E-02
ERVW-1,-1.159534804,5.57E-04
FLT3,-1.154538864,0.000179069
IL1RAPL2,-1.152897982,3.97E-03
LOC101929473,-1.150451679,7.39E-04
PTGER3,-1.149777724,9.36E-04
LEMD1,-1.141830045,2.60E-02
SERPINB2,-1.139527743,0.010537183
EML5,-1.139511885,2.37E-04
RNF103-CHMP3,-1.13945242,5.40E-03
PCSK1,-1.138374432,0.000275971
LINC02225,-1.136981804,0.03944028
VGF,-1.136745582,5.44E-04
TAF1L,-1.135534707,0.049325137
GAD2,-1.133600921,7.87E-05
SST,-1.133387254,5.03E-04
CLEC4F,-1.131662284,0.009377629
LOC101926943,-1.130499746,6.94E-03
RAB3B,-1.130131679,1.01E-05
GPR52,-1.130111574,0.003170268
ZNF804B,-1.121700558,0.006176461
PNOC,-1.120402505,0.000735464
SHC3,-1.119140732,0.000220473
LINC02392,-1.115161949,2.31E-02
LINC00507,-1.113759758,5.60E-03
COL25A1,-1.112778935,5.07E-05
NEK2,-1.112074742,7.50E-04
LINC01783,-1.108601939,6.49E-03
PRLHR,-1.104545809,0.000195145
HTR4,-1.103734397,0.000182521
VWC2,-1.102684178,5.97E-06
SLC27A6,-1.099016762,3.89E-02
SPHKAP,-1.098239095,7.77E-05
DNAJB7,-1.097065697,3.20E-05
NEUROD6,-1.092870675,0.000932902
CERKL,-1.091461793,0.000544919
KCNH7,-1.090323323,0.00024899
C1QL3,-1.088636818,0.006756574
PPFIA2-AS1,-1.086779673,0.000176994
TCP11,-1.082180827,0.000488369
NMU,-1.077460114,5.45E-03
LINC01331,-1.069300868,0.003607813
PRAP1,-1.06472022,7.75E-05
HTR3B,-1.057314477,0.004223208
FER1L6,-1.055045231,0.028551032
KIAA0087,-1.054932311,0.006506418
STARD6,-1.050482037,0.001593187
ASB18,-1.049730948,0.039061596
SYT10,-1.048171203,0.005445128
