"","20-1T-AD","21-1A-AD","23-2A-AD","26-3A-AD","27-5A-AD","22-2T-AD","24-3T-AD","25-5T-AD","29-6T-AD","31-7T-AD","28-8T-AD","30-9T-AD","13-11T-Old","15-13T-Old","16-14T-Old","12-6A-Old","14-7A-Old","10-8A-Old","17-9A-Old","18-10A-Old","19-11A-Old","11-10T-Old"
"CLEC4F",0,0,1,0,1,5,0,0,0,0,0,0,20,3,16,0,8,2,9,3,4,2
"LINC00898",17,13,16,16,8,1,2,0,2,17,7,29,30,56,18,33,45,94,53,53,65,46
"LOC101929719",3,1,1,1,1,11,0,4,3,1,5,1,21,8,22,1,25,19,7,12,8,2
"MAS1",26,16,12,19,6,11,2,1,15,21,10,14,25,38,71,90,16,112,60,53,23,51
"SLC6A5",2,1,1,1,1,1,1,0,0,2,3,0,3,0,5,2,5,5,2,4,2,15
"PPEF1",37,17,15,22,7,28,10,14,18,12,11,6,52,41,131,99,27,82,75,77,26,23
"LOC100506274",6,4,1,7,3,3,0,2,5,0,7,8,9,17,15,7,13,29,16,15,15,1
"ALB",4,0,2,5,1,15,2,5,8,1,3,1,20,15,18,5,13,12,5,14,9,19
"TAC1",57,10,6,11,6,17,3,5,13,10,10,28,22,33,112,57,15,77,65,50,19,22
"RPH3A",1729,934,898,1198,421,1110,1519,681,1795,1289,733,1454,2601,2975,4993,4926,2813,4420,4711,4037,2319,3511
"ALOX12B",21,13,11,9,5,7,5,14,14,16,9,9,26,25,57,17,18,63,52,19,21,42
"SOWAHB",180,81,78,76,57,43,30,16,87,65,59,156,146,148,466,231,127,327,205,155,148,320
"TPH1",3,4,1,4,2,2,5,5,5,1,2,3,10,6,6,16,14,14,7,5,5,5
"MYLK2",3,0,11,4,4,9,14,16,14,5,13,3,12,40,14,10,37,9,23,15,32,34
"ADRA1D",44,15,26,15,29,11,24,17,18,40,13,29,38,31,241,47,33,54,47,40,30,108
"FBLN7",158,72,92,48,36,21,43,39,40,92,88,99,102,243,177,125,113,403,167,68,124,338
"LINC00943",3,2,8,5,9,2,2,2,6,3,5,7,9,22,16,16,8,17,10,11,5,9
"ARL4D",97,29,26,41,26,31,34,39,52,64,53,51,78,91,152,101,55,131,106,83,44,311
"PRMT8",266,155,95,114,71,97,97,34,127,93,118,191,222,355,570,170,167,493,310,216,212,366
"HHLA2",3,3,2,3,1,8,0,6,2,2,4,9,10,5,16,5,9,14,3,10,7,11
"SPRED3",131,101,98,109,223,182,100,163,179,175,180,121,366,341,376,331,318,178,289,295,184,838
"CLDN16",12,8,5,4,3,7,3,5,7,0,6,3,14,15,21,7,11,17,7,13,12,8
"LYRM9",308,139,89,141,188,207,87,118,244,57,186,209,287,353,797,312,333,630,404,426,249,143
"SPDEF",23,15,9,16,10,13,11,2,19,11,7,17,24,33,69,9,25,15,22,19,30,50
"RBM3",223,178,179,172,224,623,209,374,251,196,302,279,654,411,1242,250,716,631,667,953,493,291
"CRYM",1163,420,178,328,212,295,238,143,443,364,390,726,393,778,2299,818,294,1517,1158,537,403,1302
"SYP",8144,3412,1987,3786,1655,2997,1539,1196,4187,4010,2318,5304,4497,3872,18760,7539,3333,10618,9525,5587,3609,8416
"LPA",11,7,2,11,16,14,1,4,11,6,10,8,20,18,38,13,19,22,23,17,11,6
"HMGCS1",1000,850,494,754,408,994,311,424,661,459,374,841,990,877,1210,1633,775,1865,4089,1329,837,657
"LRRC73",250,144,103,108,135,109,58,32,140,178,108,158,183,245,398,231,141,419,200,150,172,593
"PCYOX1L",191,170,93,128,63,218,86,129,162,101,98,233,274,240,499,191,198,444,382,321,243,243
"CCKBR",295,231,104,121,201,95,110,26,207,207,134,220,225,327,369,282,189,455,301,262,244,818
"RIIAD1",11,17,6,13,6,6,2,6,5,7,9,14,12,17,27,15,8,35,20,14,16,19
"WNT1",51,27,19,26,29,29,13,3,38,36,32,31,63,73,87,45,44,65,56,35,43,80
"CHRM4",99,88,55,68,75,37,46,3,51,142,48,113,133,156,252,92,83,200,152,74,85,220
"SVOP",1951,793,602,963,729,809,745,332,1299,942,761,1014,1076,1287,4220,2447,1084,2479,2243,1606,842,2111
"LOC102724532",10,28,16,10,14,18,10,15,10,8,7,16,31,20,42,19,23,29,43,35,36,6
"LRTM2",405,322,279,260,281,163,155,79,319,390,310,471,417,746,753,514,388,749,505,309,440,1023
"F7",15,15,11,11,7,20,16,3,15,25,7,18,13,28,29,14,22,32,21,22,19,75
"ZNF449",87,75,75,74,46,115,52,79,63,42,79,84,191,140,150,90,119,197,194,173,162,61
"C2orf16",69,64,49,42,40,73,17,49,55,49,38,51,84,91,140,92,81,166,121,71,84,80
"ZNF860",14,10,7,9,1,9,7,11,12,4,13,10,13,15,22,14,14,27,26,16,26,8
"KCNF1",746,423,302,473,333,372,215,384,585,598,491,350,755,794,1536,981,600,979,909,768,535,1042
"SMIM10L2B",742,338,267,388,437,360,273,198,681,404,371,594,597,886,1593,716,583,1045,934,568,640,893
"SCN11A",25,21,21,19,17,30,4,33,24,11,23,21,33,51,53,23,56,41,38,38,53,18
"TARBP1",997,644,628,792,389,906,478,619,697,443,624,710,1484,1506,1558,854,1242,1526,1335,1502,1312,571
"DIRAS1",2076,1189,1158,1477,1184,745,854,358,1173,1835,905,1583,1639,1937,3295,2044,1503,3263,2476,1693,1661,4021
"SYT12",635,303,438,562,412,204,546,116,405,785,283,417,713,763,1507,602,730,720,653,729,516,1390
"SLC6A17",3683,2973,2032,2449,2229,2084,1801,826,2689,3064,1688,3078,3273,3371,7821,4119,3809,6330,4983,3406,3317,5300
"C17orf107",105,89,67,87,97,57,93,68,123,107,76,96,114,122,206,123,116,143,150,117,124,478
"KREMEN2",71,52,74,61,55,86,44,48,119,97,76,72,157,163,151,82,151,98,86,140,155,143
"RSAD2",64,49,105,56,27,76,49,58,49,41,67,80,201,153,102,57,75,99,92,89,203,46
"SMIM10L2A",1068,601,424,611,679,617,459,418,1005,627,685,801,963,1362,2324,987,936,1548,1169,1009,811,1458
"PCP4L1",146,141,71,108,47,45,27,27,45,85,47,167,122,104,205,166,89,256,158,131,120,126
"SPEF1",83,71,59,59,65,31,49,15,74,128,48,64,84,122,179,65,94,82,103,76,114,239
"CLSTN3",4870,2927,1690,2832,2033,1912,2323,860,2802,3500,2037,4300,3292,3289,10048,4676,2675,7240,5700,3445,2963,7071
"GPCPD1",269,282,315,220,174,394,231,353,227,194,293,452,351,575,359,583,401,560,534,756,719,387
"ANXA6",2797,1665,1340,1879,1231,1612,971,1089,1881,2326,1079,2542,2103,1887,5805,3527,1674,4616,4180,2796,1810,3481
"NRSN2",1536,963,889,1148,1066,958,790,586,1251,963,1114,1398,1729,1723,3065,1552,1535,2789,2255,1500,1488,1844
"CALM3",18618,13913,7709,12299,8161,9031,4893,4748,13750,13929,9096,17912,13055,15233,38528,19864,10329,28651,23327,15473,10896,28305
"PNPLA3",45,21,15,30,14,39,15,14,29,37,30,19,65,49,50,23,40,36,60,35,42,62
"ZNF596",41,49,39,35,31,71,35,86,51,38,55,65,82,86,116,61,104,94,81,107,81,82
"GPRASP1",3931,2663,1435,1881,1709,2326,1249,1748,2690,2033,1605,3342,2825,3025,5860,3938,2362,5231,4742,3579,2961,4790
"RNF165",360,370,293,303,275,226,199,160,371,235,281,399,442,572,798,379,480,665,460,397,399,523
"EXOC3L1",60,43,27,38,37,32,42,46,49,51,41,41,79,88,109,52,71,64,65,50,84,78
"RELL2",306,105,112,165,114,70,87,64,147,218,126,195,265,268,240,170,175,287,196,146,246,444
"NCR3LG1",324,395,332,423,228,181,323,117,272,360,235,424,414,532,502,452,544,786,563,396,528,510
"CCDC113",246,234,189,226,170,281,115,184,268,160,193,301,328,276,498,382,337,531,429,381,305,255
"CHRNB2",1308,727,652,794,836,503,593,268,819,963,684,987,1027,1226,2444,1076,1034,1860,1054,931,903,1607
"GABARAPL1",2946,2166,1392,2115,1056,1977,962,1064,1750,1672,1506,2609,1889,1564,5413,3835,1468,5060,4890,2750,1687,2330
"TECTA",115,126,88,115,96,130,61,106,148,114,79,133,162,179,283,146,208,183,168,194,163,180
"CYP2E1",77,84,43,80,58,59,61,53,101,84,54,118,115,98,196,108,132,110,160,92,106,118
"SLC45A1",291,193,152,178,142,224,156,138,222,251,178,272,329,298,636,253,195,474,349,269,231,350
"FAM131A",1908,927,864,1053,1117,967,757,671,1109,1128,1159,1228,1277,1552,3815,1672,928,2085,1727,1425,855,2805
"TMEM241",204,162,113,156,107,90,47,75,136,149,118,198,127,202,298,219,136,351,261,181,193,179
"COPS7A",790,508,429,494,534,720,336,434,616,573,553,788,772,688,1408,1049,570,1318,1342,822,610,912
"PPME1",1162,766,501,798,441,789,468,494,737,645,591,944,885,710,1837,1319,679,1786,1685,1021,641,1028
"GSS",320,150,151,231,177,352,126,224,258,178,230,282,365,306,518,300,312,457,537,354,253,295
"NRIP3",617,374,231,395,309,364,317,244,380,287,277,565,308,362,966,680,434,1023,764,698,368,430
"NRXN3",3746,3379,1897,2425,1697,3136,2470,1373,2912,2799,2645,4042,3301,3760,6265,4394,2971,6566,5114,5021,3230,3876
"EFR3B",3225,2377,2667,2156,3033,2101,2200,1518,2323,3043,2549,2558,3547,4841,5275,3539,3183,4181,3579,3290,3621,4949
"SPCS1",265,224,187,187,177,292,136,159,172,150,166,288,320,254,337,340,288,467,572,317,239,130
"ACP2",325,206,232,261,180,334,180,305,377,207,326,359,488,393,743,274,374,507,493,403,342,401
"TMEM169",105,87,68,78,48,61,55,67,100,73,71,94,128,102,163,152,73,168,144,114,77,86
"RASGRF1",1667,1501,986,1719,618,1248,1973,1563,1574,1520,1121,1937,1635,1813,3218,2710,1623,3500,2533,1988,1616,2618
"NAPA",1641,950,770,1016,856,1196,886,701,1026,1319,931,1384,1278,1337,2679,1628,1020,2238,2111,1363,1048,2081
"NIPSNAP1",624,543,318,404,383,484,277,287,457,463,359,627,597,556,1114,646,464,884,788,560,555,674
"CES2",807,391,432,558,492,828,495,743,675,521,609,636,874,963,1122,631,842,908,1054,879,741,1363
"FBXO16",80,102,60,61,49,38,58,31,71,56,64,73,88,98,79,146,58,136,119,98,90,61
"MED29",824,847,827,760,815,1223,586,966,956,617,962,934,1310,1423,1687,1132,1339,1461,1639,1387,1109,993
"BDH1",690,487,409,455,389,312,351,308,541,465,438,629,661,828,886,564,585,877,671,593,657,755
"EML6",913,957,908,905,760,513,488,395,724,913,676,829,1076,1215,1125,1070,1100,1319,1075,1192,1166,1105
"RNFT2",538,393,320,432,318,375,269,233,464,400,315,499,470,472,833,642,380,766,655,531,440,600
"PSMB2",679,499,359,403,370,662,330,411,451,400,488,563,691,415,1076,718,533,974,1108,706,466,477
"DDB1",2877,2414,1990,2197,1926,3120,1634,1932,2215,1993,2118,2674,3127,2340,5201,3149,2783,4435,4449,3540,2417,2466
"COG1",1071,931,666,782,811,875,589,550,1082,777,851,981,1307,1149,1765,959,967,1362,1298,1233,1084,1179
"HGSNAT",845,420,524,622,352,868,426,536,574,380,663,698,948,832,1021,609,767,1062,948,892,879,520
"NEU3",194,202,136,154,88,215,101,158,199,139,165,244,231,183,356,280,183,317,278,247,176,211
"CHP1",1319,952,836,854,797,970,550,792,876,790,862,1009,1082,1019,1783,1493,823,1712,1863,1183,858,1350
"LETMD1",457,340,267,305,225,406,219,368,334,248,324,400,415,362,601,490,436,678,612,562,338,308
"FBXO9",836,443,506,613,466,650,493,583,659,485,669,684,701,718,1316,857,685,1180,948,801,664,818
"WDR46",387,202,198,237,202,258,164,267,304,295,290,288,395,349,534,281,277,370,426,359,273,474
"CD99L2",3076,1808,1660,2250,1592,2459,1334,2031,1952,1985,1910,3015,1972,2073,4616,3255,2248,4360,3785,2642,2111,3200
"ACLY",1574,1019,871,1201,843,1569,755,970,1117,1113,1159,1361,1601,1217,2130,1517,1158,1836,3090,1305,1084,1585
"EIF4H",1039,1162,874,906,876,1519,723,1077,1018,968,988,1303,1234,1102,1974,1699,1213,1982,2232,1452,990,1227
"ZCCHC17",512,566,378,378,452,564,331,380,457,381,408,494,534,463,924,605,496,832,798,710,389,598
"PITPNA",1580,1297,1273,1279,1231,1196,956,820,1159,1359,1092,1443,1565,1331,2543,1744,1413,2166,2222,1618,1384,1519
"MRPL30",358,343,296,359,274,355,269,299,315,237,345,384,385,354,492,588,322,594,638,531,366,260
"ST3GAL3",428,301,308,352,378,301,226,215,361,331,378,379,402,444,552,379,412,579,525,389,443,471
"IMMT",852,695,583,708,530,753,402,555,562,529,644,795,872,620,1354,914,701,1143,1225,909,575,597
"PNPO",614,438,395,434,492,469,295,337,508,486,420,648,674,591,724,619,508,669,770,597,591,619
"DHX57",463,371,314,415,222,371,215,386,334,216,310,429,456,399,579,463,397,556,601,483,386,320
