"","20-1T-AD","21-1A-AD","23-2A-AD","26-3A-AD","27-5A-AD","22-2T-AD","24-3T-AD","25-5T-AD","29-6T-AD","31-7T-AD","28-8T-AD","30-9T-AD"
"CLEC4F",0,0,1,0,1,5,0,0,0,0,0,0
"LINC00898",17,13,16,16,8,1,2,0,2,17,7,29
"LOC101929719",3,1,1,1,1,11,0,4,3,1,5,1
"MAS1",26,16,12,19,6,11,2,1,15,21,10,14
"SLC6A5",2,1,1,1,1,1,1,0,0,2,3,0
"PPEF1",37,17,15,22,7,28,10,14,18,12,11,6
"LOC100506274",6,4,1,7,3,3,0,2,5,0,7,8
"ALB",4,0,2,5,1,15,2,5,8,1,3,1
"TAC1",57,10,6,11,6,17,3,5,13,10,10,28
"RPH3A",1729,934,898,1198,421,1110,1519,681,1795,1289,733,1454
"ALOX12B",21,13,11,9,5,7,5,14,14,16,9,9
"SOWAHB",180,81,78,76,57,43,30,16,87,65,59,156
"TPH1",3,4,1,4,2,2,5,5,5,1,2,3
"MYLK2",3,0,11,4,4,9,14,16,14,5,13,3
"ADRA1D",44,15,26,15,29,11,24,17,18,40,13,29
"FBLN7",158,72,92,48,36,21,43,39,40,92,88,99
"LINC00943",3,2,8,5,9,2,2,2,6,3,5,7
"ARL4D",97,29,26,41,26,31,34,39,52,64,53,51
"PRMT8",266,155,95,114,71,97,97,34,127,93,118,191
"HHLA2",3,3,2,3,1,8,0,6,2,2,4,9
"SPRED3",131,101,98,109,223,182,100,163,179,175,180,121
"CLDN16",12,8,5,4,3,7,3,5,7,0,6,3
"LYRM9",308,139,89,141,188,207,87,118,244,57,186,209
"SPDEF",23,15,9,16,10,13,11,2,19,11,7,17
"RBM3",223,178,179,172,224,623,209,374,251,196,302,279
"CRYM",1163,420,178,328,212,295,238,143,443,364,390,726
"SYP",8144,3412,1987,3786,1655,2997,1539,1196,4187,4010,2318,5304
"LPA",11,7,2,11,16,14,1,4,11,6,10,8
"HMGCS1",1000,850,494,754,408,994,311,424,661,459,374,841
"LRRC73",250,144,103,108,135,109,58,32,140,178,108,158
"PCYOX1L",191,170,93,128,63,218,86,129,162,101,98,233
"CCKBR",295,231,104,121,201,95,110,26,207,207,134,220
"RIIAD1",11,17,6,13,6,6,2,6,5,7,9,14
"WNT1",51,27,19,26,29,29,13,3,38,36,32,31
"CHRM4",99,88,55,68,75,37,46,3,51,142,48,113
"SVOP",1951,793,602,963,729,809,745,332,1299,942,761,1014
"LOC102724532",10,28,16,10,14,18,10,15,10,8,7,16
"LRTM2",405,322,279,260,281,163,155,79,319,390,310,471
"F7",15,15,11,11,7,20,16,3,15,25,7,18
"ZNF449",87,75,75,74,46,115,52,79,63,42,79,84
"C2orf16",69,64,49,42,40,73,17,49,55,49,38,51
"ZNF860",14,10,7,9,1,9,7,11,12,4,13,10
"KCNF1",746,423,302,473,333,372,215,384,585,598,491,350
"SMIM10L2B",742,338,267,388,437,360,273,198,681,404,371,594
"SCN11A",25,21,21,19,17,30,4,33,24,11,23,21
"TARBP1",997,644,628,792,389,906,478,619,697,443,624,710
"DIRAS1",2076,1189,1158,1477,1184,745,854,358,1173,1835,905,1583
"SYT12",635,303,438,562,412,204,546,116,405,785,283,417
"SLC6A17",3683,2973,2032,2449,2229,2084,1801,826,2689,3064,1688,3078
"C17orf107",105,89,67,87,97,57,93,68,123,107,76,96
"KREMEN2",71,52,74,61,55,86,44,48,119,97,76,72
