"","H_0001","H_0002","H_0003","H_0005","H_0006","H_0007","H_0008","H_0009","H_0010","H_0012","H_0013","H_0539","H_0657","H_0658","H_0681","H_0695","H_0700","H_0726","H_0740","H_0750"
"CLEC4F",2,0,0,6,0,6,0,0,5,0,16,14,9,0,0,4,5,1,5,0
"LINC00898",4,7,11,19,11,14,4,12,28,7,52,64,38,23,5,9,34,19,27,13
"LOC101929719",12,6,0,2,15,7,4,4,11,0,203,39,13,13,4,17,8,6,11,5
"MAS1",204,59,89,190,86,106,102,97,262,109,190,519,324,383,68,31,315,405,107,358
"SLC6A5",9,15,8,21,2,24,8,19,27,23,6,44,27,19,9,4,13,24,13,15
"PPEF1",149,30,65,105,148,70,57,45,202,41,140,418,319,169,48,44,163,296,76,201
"LOC100506274",56,24,9,57,37,21,52,5,33,19,85,46,73,20,15,15,43,7,11,8
"ALB",3,43,39,25,6,14,12,33,28,1,125,43,51,9,4,24,21,9,9,8
"TAC1",585,45,273,497,557,246,207,201,799,66,562,1105,533,338,129,182,359,1225,499,402
"RPH3A",6648,2251,3456,8713,5225,2987,6003,4495,7844,7606,6405,28512,15696,12721,5196,2218,6872,12125,8096,7655
"ALOX12B",61,23,27,27,28,31,1,0,45,7,83,54,96,23,15,19,21,23,43,19
"SOWAHB",114,19,14,241,108,175,89,61,403,102,703,749,529,324,37,41,310,389,163,233
"TPH1",14,16,9,12,6,14,8,8,26,3,75,26,10,18,6,37,16,19,9,8
"MYLK2",26,24,0,39,25,16,19,18,33,17,49,98,34,5,18,61,29,24,19,30
"ADRA1D",65,43,43,94,119,12,114,70,64,36,76,383,84,59,38,38,96,85,23,149
"FBLN7",416,49,145,309,262,173,221,164,318,252,207,716,532,336,75,99,421,339,201,281
"LINC00943",7,10,19,65,52,25,26,33,65,28,64,163,29,39,13,23,59,53,62,115
"ARL4D",400,157,283,304,389,167,362,167,331,244,198,677,441,262,186,300,343,536,169,1506
"PRMT8",1018,240,514,872,1018,436,577,314,1017,339,941,2311,1616,929,332,302,1012,1196,644,1264
"HHLA2",0,3,0,1,6,8,2,6,3,3,13,15,22,2,0,5,12,6,7,1
"SPRED3",3,33,0,33,8,42,26,28,36,20,12,137,60,47,10,22,49,54,56,49
"CLDN16",7,14,0,23,38,22,2,17,19,12,32,69,26,17,12,15,42,19,17,16
"LYRM9",1293,496,585,513,771,453,213,254,977,273,2087,1662,1725,600,240,655,580,695,820,494
"SPDEF",34,29,12,27,49,16,15,26,19,26,66,131,167,18,7,30,23,22,27,28
"RBM3",2705,828,409,707,1181,1087,553,584,1366,398,9325,3259,1706,942,467,2501,865,724,1232,627
"CRYM",3762,768,2283,2166,3147,1634,1367,1122,3527,1759,3569,6428,4026,3114,1372,1221,3168,4108,1370,3019
"SYP",30351,4105,14292,15159,20203,10161,9759,8102,21403,10470,21727,45282,36554,21887,8288,4495,17680,34602,12836,21537
"LPA",18,6,0,22,8,6,4,6,11,2,31,34,9,11,3,7,4,14,11,19
"HMGCS1",1794,1494,1936,1896,1807,4524,1203,1472,3430,1408,3002,8309,6324,2928,1581,3257,3039,4524,5139,2581
"LRRC73",541,173,289,257,445,201,237,109,360,196,273,918,665,251,110,109,401,427,414,602
"PCYOX1L",612,438,306,468,627,761,225,141,876,281,1328,1574,2034,531,323,623,795,804,743,747
"CCKBR",499,234,457,467,586,398,413,317,707,492,520,1542,1482,511,285,225,698,857,706,838
"RIIAD1",166,28,118,74,120,53,39,29,86,49,88,213,153,86,17,27,67,65,78,82
"WNT1",0,1,0,23,19,41,21,9,53,32,99,124,127,70,6,10,53,36,24,20
"CHRM4",64,33,11,100,45,94,61,60,138,112,304,398,208,169,21,9,134,131,72,74
"SVOP",2568,588,1407,2415,2814,1735,1456,1233,4057,1465,4005,7977,5981,3611,1103,670,3573,5211,2091,3926
"LOC102724532",152,64,125,66,94,81,21,53,71,53,183,305,125,70,36,145,66,116,140,83
"LRTM2",667,156,364,603,611,472,307,313,838,635,912,1862,1342,706,260,215,951,887,515,852
"F7",61,15,17,42,36,12,27,14,46,34,27,106,56,74,15,23,46,39,37,51
"ZNF449",185,249,142,331,208,253,184,152,450,162,441,887,682,385,159,461,403,322,281,304
"C2orf16",2,28,11,28,15,85,19,29,34,24,84,84,66,26,7,33,43,42,36,36
"ZNF860",3,22,0,25,2,26,10,7,26,12,36,84,88,41,9,16,37,49,8,5
"KCNF1",2562,480,1407,1280,2262,669,1220,740,1314,982,1262,3987,2717,1425,938,353,954,2080,1101,1910
"SMIM10L2B",816,481,529,1119,1169,699,585,755,1549,808,1612,3776,3381,1232,780,605,1469,1865,1479,1289
"SCN11A",22,52,4,64,26,33,29,31,37,23,33,51,70,38,21,75,35,31,35,32
"TARBP1",1917,1841,860,2243,1564,2226,1226,1057,3196,1404,4266,5929,4483,2551,1362,2280,2963,2139,2009,1949
"DIRAS1",5689,1052,3687,4126,4387,2192,2821,2109,4737,2978,4622,10187,6285,5669,1765,1220,4437,7951,2867,5947
"SYT12",2260,528,1302,1365,1997,624,1603,983,1553,1052,1392,3890,2493,1812,660,485,1301,2678,1075,2082
"SLC6A17",4576,1774,2245,5165,3518,4687,4191,2926,6402,3814,7383,14810,13424,7648,2452,1217,5364,9606,5324,4723
"C17orf107",97,25,38,155,124,116,84,76,186,74,141,438,256,156,60,74,124,205,210,162
"KREMEN2",73,49,89,82,144,71,33,34,93,64,108,195,213,61,29,54,74,72,168,103
"RSAD2",240,196,53,157,179,114,171,90,274,98,434,321,294,176,127,247,184,174,128,178
"SMIM10L2A",1722,985,1032,2159,2117,1307,1221,1188,2194,1477,2838,5211,4691,2423,1245,1405,2670,2903,2490,2959
"PCP4L1",944,148,480,970,916,631,469,400,1030,285,1041,2659,1304,814,249,358,633,1271,869,819
"SPEF1",463,54,245,272,498,145,164,104,226,258,220,453,399,153,103,118,203,268,159,375
"CLSTN3",8167,2001,4599,7078,7212,5276,5398,3463,8951,4872,8916,16285,15839,9792,3106,1762,8692,11181,5178,8688
"GPCPD1",427,1108,415,912,520,991,429,476,1183,935,1125,3499,1498,990,733,2052,1741,1102,2006,1063
"ANXA6",6882,2747,3824,4595,6141,4970,3695,3087,9366,3891,9043,13306,13220,9466,2961,3396,7312,10101,5345,9633
"NRSN2",5690,2559,2779,3913,4744,3105,2901,2284,4276,2522,5655,11825,9634,4394,2220,2640,3966,5221,6966,4989
"CALM3",42352,10898,23059,35374,39633,29226,25111,21033,47624,28947,45811,115514,105037,46357,17746,16055,50439,60269,45367,58218
"PNPLA3",0,50,0,35,2,39,17,34,18,7,25,49,30,28,17,51,24,16,24,23
"ZNF596",65,239,90,215,92,139,91,64,215,175,463,357,205,248,187,257,191,182,137,112
"GPRASP1",4021,2512,2246,4882,3896,4731,2131,2447,8359,2855,8653,14713,8433,7432,2964,3324,7837,9698,5657,6084
"RNF165",1013,362,585,975,741,596,794,544,859,664,1297,2782,1878,1051,505,387,1224,1213,891,1163
"EXOC3L1",45,37,96,47,52,62,26,34,76,28,99,135,105,38,29,53,60,49,119,53
"RELL2",511,260,317,715,699,312,394,344,832,438,610,1422,1084,837,227,150,489,875,446,638
"NCR3LG1",10,62,61,232,47,216,73,87,268,130,276,627,479,598,55,115,323,349,121,140
"CCDC113",460,252,268,460,430,536,218,233,710,363,984,1374,1254,687,279,479,639,796,936,711
"CHRNB2",1217,489,763,915,1079,803,720,809,1637,1019,1317,3364,2553,1960,578,371,1453,2185,978,1694
"GABARAPL1",9767,3937,6218,8967,8971,8357,6984,4410,11882,5762,13760,24412,20335,12835,5392,6521,12361,19364,8735,20759
"TECTA",123,112,132,147,75,141,96,83,167,118,223,318,395,169,112,144,151,165,158,140
"CYP2E1",601,210,303,460,478,388,277,310,518,369,710,832,701,406,348,274,395,616,534,551
"SLC45A1",1070,234,645,574,870,379,460,259,581,481,643,1353,1341,678,325,295,548,778,513,765
"FAM131A",3605,1519,2553,3995,4021,2159,3166,2029,3667,2582,3401,7910,7854,4713,1997,1763,5096,5863,2948,6386
