"","P_0003","P_0006","P_0013","P_0014","P_0015","P_0016","P_0018","P_0019","P_0020","P_0021","P_0022","P_0023","P_0026","P_0027","P_0028","P_0029","P_0030","P_0031","P_0033","P_0012","P_0034","P_0063","P_0126","P_0130","P_0132","P_0133","P_0134","P_0135","P_0136"
"CLEC4F",2,1,5,0,0,2,0,7,8,0,4,21,1,13,1,1,4,11,0,2,0,4,1,7,2,3,22,1,0
"LINC00898",10,1,18,7,0,73,19,6,34,0,4,16,3,88,10,11,15,35,0,40,7,8,3,11,6,10,78,3,0
"LOC101929719",3,4,21,6,1,54,5,12,9,4,5,24,2,28,7,8,7,13,0,8,4,11,1,25,10,4,37,4,11
"MAS1",183,33,266,137,53,641,175,141,222,0,58,192,53,434,109,70,160,127,1,367,129,142,38,91,62,180,498,49,54
"SLC6A5",7,3,10,6,6,12,10,10,14,0,6,6,6,26,9,8,12,9,0,36,14,27,9,27,5,20,64,1,10
"PPEF1",37,22,169,86,43,276,93,82,90,5,25,182,35,244,35,41,113,58,8,179,76,113,21,49,35,56,443,39,25
"LOC100506274",36,1,37,4,8,31,19,45,36,8,14,35,23,68,20,22,37,9,1,71,87,59,17,41,43,22,84,26,24
"ALB",12,5,29,12,10,55,20,56,58,11,14,35,14,48,12,6,8,16,2,27,18,61,5,54,46,7,65,5,28
"TAC1",196,123,402,173,88,696,126,395,207,3,90,492,82,480,85,79,191,93,2,709,181,437,71,185,204,322,1555,123,42
"RPH3A",4307,3129,7239,4007,1763,13747,8316,4626,8566,743,3146,7060,3378,14656,5070,4261,4729,5675,184,10021,5385,7859,1991,2769,3452,6924,20244,2172,2358
"ALOX12B",25,0,51,16,12,114,26,28,30,3,17,69,13,69,19,20,34,48,0,63,31,56,7,53,23,9,114,10,16
"SOWAHB",96,24,326,99,28,724,99,141,299,3,48,242,44,656,101,76,118,231,1,530,141,227,8,109,30,154,943,26,41
"TPH1",9,5,25,8,6,33,10,32,14,6,4,13,9,21,10,15,9,7,1,25,36,29,5,27,29,5,45,9,21
"MYLK2",9,10,28,9,12,49,17,34,17,24,38,22,24,28,24,13,5,11,0,50,11,39,8,30,30,17,101,30,56
"ADRA1D",57,69,126,39,29,201,85,64,102,11,36,104,37,190,28,22,45,35,0,144,46,167,40,29,39,64,398,46,34
"FBLN7",183,94,140,103,35,676,214,174,367,8,98,276,123,830,140,150,133,245,0,501,269,325,50,46,50,299,875,53,68
"LINC00943",20,10,28,23,12,25,43,26,26,0,21,29,19,65,9,5,10,22,1,69,30,84,16,17,22,70,115,11,66
"ARL4D",340,169,419,220,176,792,395,652,303,37,121,652,192,617,165,154,330,289,11,708,404,456,265,257,291,353,884,182,157
"PRMT8",611,197,881,517,288,1816,726,656,744,3,318,1211,337,1625,460,454,745,733,7,1475,762,998,263,548,423,587,1865,266,231
"HHLA2",2,1,5,2,0,10,10,1,3,2,5,8,3,4,8,2,0,5,1,6,6,18,0,14,0,4,6,5,11
"SPRED3",10,29,32,30,9,90,23,105,37,7,43,57,21,71,28,27,38,37,6,44,15,18,21,38,14,32,88,23,28
"CLDN16",16,6,29,11,5,38,18,18,18,3,11,29,15,54,11,8,11,16,0,30,22,53,11,27,16,16,128,8,13
"LYRM9",483,200,1033,393,285,1675,1020,656,741,110,312,980,395,1559,448,392,777,728,40,1294,724,1211,326,628,578,918,2386,260,491
"SPDEF",44,10,59,26,20,91,35,56,44,8,16,73,22,110,25,36,37,52,0,49,32,39,3,60,34,46,108,11,12
"RBM3",261,372,1497,634,403,2414,685,2113,1340,559,576,2505,478,2661,626,595,902,841,173,1596,1015,2046,342,1888,790,831,4293,576,2009
"CRYM",2408,852,3670,2235,831,5892,2833,2026,2856,69,1317,3114,1111,7859,1391,1122,2625,2504,31,5776,3229,3866,597,1375,1454,2657,8891,1032,865
"SYP",16780,8824,29343,16463,8035,47220,18846,13151,20472,1278,7589,19260,8552,43504,11475,10083,20055,15504,384,32500,16268,16275,6972,10714,8608,17263,44423,6789,4966
"LPA",7,6,9,7,6,21,5,11,6,3,9,20,2,12,2,1,7,16,0,15,21,9,0,10,7,13,26,3,5
"HMGCS1",1208,928,2711,1323,844,4690,1527,3151,2955,2172,1105,1946,839,3243,860,805,1625,2117,298,4302,2499,4887,1281,3477,1246,3335,8609,1393,1851
"LRRC73",420,162,452,240,186,923,442,253,345,19,149,374,183,670,203,163,240,342,12,582,459,347,166,206,221,360,986,113,82
"PCYOX1L",518,121,1124,471,229,1842,666,589,1061,211,388,785,299,1270,355,313,633,731,20,1181,537,943,176,803,521,570,1755,225,418
"CCKBR",621,351,722,511,292,1474,695,434,550,8,264,630,357,1164,314,291,509,520,9,1047,534,553,185,313,308,772,1610,210,247
"RIIAD1",62,15,107,41,27,209,88,73,88,8,40,62,57,119,32,30,69,50,0,97,74,61,55,51,76,61,163,21,28
"WNT1",8,10,54,21,11,98,19,37,49,0,17,53,16,142,17,26,46,61,0,54,27,30,3,28,3,17,93,8,0
