"","PD.in.p1","lfc","q"
"NKIRAS1","NKIRAS1",-0.510588649,0.000689
"APP","APP",-0.409882762,8.62e-05
"NKIRAS2","NKIRAS2",0.178061805,0.020111644
"TRIM4","TRIM4",0.331403105,0.00019815
"NFKB1","NFKB1",0.341884595,0.001055887
"MAVS","MAVS",0.363377272,0.014776849
"IKBKB","IKBKB",0.422109741,0.000513819
"NFKBIB","NFKBIB",0.44353575,0.000889836
"TRAF2","TRAF2",0.509463913,5.99e-05
"RNF135","RNF135",0.678958489,8.62e-05
"AGER","AGER",0.7310205,0.000102
"NFKBIA","NFKBIA",0.837548219,3.83e-07
"RELA","RELA",0.96344626,2.42e-08
"NFKB2","NFKB2",1.298040415,3.38e-08
"S100A12","S100A12",2.546113646,0.000151
